lf;Category;NCP;Time.Scenario;Method
categories/02-Fut.A-45_05-Wil.use-cat.Mat_Method A.tif;Material;Wild use medicinal, dye, fur;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_05-Wil.use-cat.Mat_Method B.tif;Material;Wild use medicinal, dye, fur;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_05-Wil.use-cat.Mat_Method C.tif;Material;Wild use medicinal, dye, fur;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_06-Mel-cat.Mat_Method A.tif;Material;Mellifera (for domestic species);RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_06-Mel-cat.Mat_Method B.tif;Material;Mellifera (for domestic species);RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_06-Mel-cat.Mat_Method C.tif;Material;Mellifera (for domestic species);RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_07-For.pas-cat.Mat_Method A.tif;Material;Forage-pasture;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_07-For.pas-cat.Mat_Method B.tif;Material;Forage-pasture;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_07-For.pas-cat.Mat_Method C.tif;Material;Forage-pasture;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_08-Tot-cat.Mat_Method A.tif;Material;Total material services;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_08-Tot-cat.Mat_Method B.tif;Material;Total material services;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_08-Tot-cat.Mat_Method C.tif;Material;Total material services;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_11-Dec-cat.Reg_Method A.tif;Regulating/maintenance;Decontamination;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_11-Dec-cat.Reg_Method B.tif;Regulating/maintenance;Decontamination;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_11-Dec-cat.Reg_Method C.tif;Regulating/maintenance;Decontamination;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_12-Riv.ero-cat.Reg_Method A.tif;Regulating/maintenance;Riverbank erosion;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_12-Riv.ero-cat.Reg_Method B.tif;Regulating/maintenance;Riverbank erosion;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_12-Riv.ero-cat.Reg_Method C.tif;Regulating/maintenance;Riverbank erosion;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_13-Hed.cro-cat.Reg_Method A.tif;Regulating/maintenance;Hedge for crop yield;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_13-Hed.cro-cat.Reg_Method B.tif;Regulating/maintenance;Hedge for crop yield;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_13-Hed.cro-cat.Reg_Method C.tif;Regulating/maintenance;Hedge for crop yield;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_14-Red.dam-cat.Reg_Method A.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_14-Red.dam-cat.Reg_Method B.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_14-Red.dam-cat.Reg_Method C.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_15-Red.run-cat.Reg_Method A.tif;Regulating/maintenance;Reduce runoff from agroecosystems;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_15-Red.run-cat.Reg_Method B.tif;Regulating/maintenance;Reduce runoff from agroecosystems;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_15-Red.run-cat.Reg_Method C.tif;Regulating/maintenance;Reduce runoff from agroecosystems;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_16-Key.spe-cat.Reg_Method A.tif;Regulating/maintenance;Keystone species;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_16-Key.spe-cat.Reg_Method B.tif;Regulating/maintenance;Keystone species;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_16-Key.spe-cat.Reg_Method C.tif;Regulating/maintenance;Keystone species;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_17-Red.lan-cat.Reg_Method A.tif;Regulating/maintenance;Reduce landslide;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_17-Red.lan-cat.Reg_Method B.tif;Regulating/maintenance;Reduce landslide;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_17-Red.lan-cat.Reg_Method C.tif;Regulating/maintenance;Reduce landslide;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_18-Tot-cat.Reg_Method A.tif;Regulating/maintenance;Total Regulating/maintenance services;RCP 4.5 (2020-2049);Method 'NCP-BIN'
